"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"Q2,Q3,Q4,Q5,Q6","SOT-223",5,"Q_NMOS_GDSD",,,
2,"XA1","Arduino_Mega2560_Modified",1,"Arduino_Mega2560_Shield",,,
3,"J12","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",1,"SL5",,,
4,"J11","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",1,"SL4",,,
5,"J10","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",1,"SL3",,,
6,"J9","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",1,"SL2",,,
7,"J8","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",1,"SL1",,,
8,"D12","LED_1206_3216Metric",1,"3V3",,,
9,"F1","FuseHolder",1,"BladeFuse",,,
10,"IC1","SOP-16_4.4x10.4mm_P1.27mm",1,"74HC4050",,,
11,"J13","microSD_HC_Hirose_DM3BT-DSF-PEJS",1,"Micro_SD_Card",,,
12,"D13","LED_1206_3216Metric",1,"24V",,,
13,"U2,U3,U4","SO-8_5.3x6.2mm_P1.27mm",3,"FDS8984",,,
14,"R1","R_1206_3216Metric",1,"200",,,
15,"R4,R5,R7,R8,R9,R10","R_1206_3216Metric",6,"1k2",,,
16,"R6,R15,R2,R3,R11,R12","R_1206_3216Metric",6,"10k",,,
17,"D1","D_SOD-123F",1,"D_Small",,,
18,"D2,D3,D4,D5,D6","D_SOD-123F",5,"D",,,
19,"J6,J7","BananaJack15.5mm",2,"COIL",,,
20,"D7,D9,D10,D11,D8","LED_1206_3216Metric",5,"LED",,,
21,"J1,J2,J3,J4","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",4,"PT",,,
22,"J5","Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical",1,"Battery",,,
23,"MH1,MH2,MH3,MH4","MountingHole_3.5mm",4,"MountingHole",,,
24,"Q1","SOT-223",1,"IGN",,,
25,"SW1","R1966ABLKBLKFR-SPST",1,"ARM",,,
